run,operation,started,time,status,label,batch_size,epochs,tsample,tsr_stop,sc_true,sc_false,lr,theta,tauRho,sample_file,hidden_size,loss_type,output_size,finger_type,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,bin_duration,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path
413e06dc,vtsnn6:tac_rpg_2,2020-06-16 22:46:34,0:03:52,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_w_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,1,0.1636628955602646,0.8333333134651184,0.21009567379951477,0.7333333492279053,0.6666666865348816,0.7666666507720947,,,,,,,,,,
06120f39,vtsnn6:tac_rpg_2,2020-06-16 22:45:11,0:03:32,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_z_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,,,,,0.0001,,,1,,,,1,0.1371544599533081,0.9666666388511658,0.22179120779037476,0.800000011920929,0.800000011920929,0.9666666388511658,,,,,,,,,,
e0126501,vtsnn6:tac_rpg_2,2020-06-16 22:45:05,0:03:33,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_y_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,,,,,0.0001,,,1,,,,1,0.1734158992767334,0.800000011920929,0.30873867869377136,0.46666666865348816,0.4000000059604645,0.800000011920929,,,,,,,,,,
ac287799,vtsnn6:tac_rpg_2,2020-06-16 22:44:59,0:03:41,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_x_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,,,,,0.0001,,,1,,,,1,0.14179211854934692,0.8999999761581421,0.30966323614120483,0.2666666805744171,0.20000000298023224,0.8999999761581421,,,,,,,,,,
5a80c123,vtsnn6:tac_rpg_2,2020-06-16 22:44:54,0:03:32,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_w_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,,,,,0.0001,,,1,,,,1,0.1279057264328003,0.9666666388511658,0.31382474303245544,0.46666666865348816,0.46666666865348816,0.9666666388511658,,,,,,,,,,
8517f4a3,vtsnn6:tac_rpg_2,2020-06-16 22:44:36,0:03:29,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_v_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,,,,,0.0001,,,1,,,,1,0.17686226963996887,0.9333333373069763,0.2422197014093399,0.6000000238418579,0.5333333611488342,0.8666666746139526,,,,,,,,,,
7af6999e,vtsnn6:tact-snn-2,2020-06-16 22:43:55,0:05:20,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_z_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,1,32,0,3,0,21.867307662963867,0.9666666388511658,83.09461212158203,0.3333333432674408,0.2666666805744171,0.9666666388511658,,,,,,,,,,
fbe7b85f,vtsnn6:tact-snn-2,2020-06-16 22:43:50,0:05:00,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_y_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,1,32,0,3,0,22.052692413330078,0.9333333373069763,87.25308227539062,0.4000000059604645,0.20000000298023224,0.8666666746139526,,,,,,,,,,
fe8f898e,vtsnn6:tac_rpg_2,2020-06-16 22:43:49,0:03:06,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_v_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,1,0.18006473779678345,0.8999999761581421,0.24556465446949005,0.6666666865348816,0.6000000238418579,0.8999999761581421,,,,,,,,,,
a9a327b1,vtsnn6:tac_rpg_2,2020-06-16 22:43:48,0:03:10,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_z_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,1,0.13292771577835083,1.0,0.28688713908195496,0.5333333611488342,0.4000000059604645,1.0,,,,,,,,,,
9a78c250,vtsnn6:tact-snn-2,2020-06-16 22:43:44,0:05:22,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_x_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,1,32,0,3,0,24.754615783691406,0.9666666388511658,87.05307006835938,0.4000000059604645,0.20000000298023224,0.9333333373069763,,,,,,,,,,
1770be30,vtsnn6:tac_rpg_2,2020-06-16 22:43:41,0:02:52,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_w_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,1,0.16583827137947083,0.8333333134651184,0.3082912862300873,0.6000000238418579,0.3333333432674408,0.8333333134651184,,,,,,,,,,
2616aa4a,vtsnn6:tact-snn-2,2020-06-16 22:43:39,0:05:04,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_v_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,1,32,0,3,0,24.147693634033203,0.9333333373069763,98.68692779541016,0.5333333611488342,0.2666666805744171,0.8999999761581421,,,,,,,,,,
86f279de,vtsnn6:tac_rpg_2,2020-06-16 22:43:36,0:03:01,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_x_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,1,0.16278472542762756,0.9333333373069763,0.2982521653175354,0.6000000238418579,0.46666666865348816,0.8999999761581421,,,,,,,,,,
b521eaab,vtsnn6:tac_rpg_2,2020-06-16 22:43:36,0:03:01,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_y_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,1,0.19510725140571594,0.8333333134651184,0.26954588294029236,0.6666666865348816,0.5333333611488342,0.8333333134651184,,,,,,,,,,
9b227795,vtsnn6:tact-snn-2,2020-06-16 22:43:30,0:05:14,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_w_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,1,32,0,3,0,20.161922454833984,0.9666666388511658,84.97923278808594,0.4000000059604645,0.2666666805744171,0.9666666388511658,,,,,,,,,,
648cfbee,vtsnn6:tac_rpg_2,2020-06-16 22:41:53,0:01:55,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_z_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,1,0.16501322388648987,0.9666666388511658,0.29010245203971863,0.6000000238418579,0.5333333611488342,0.9666666388511658,,,,,,,,,,
d82945f2,vtsnn6:tac_rpg_2,2020-06-16 22:41:50,0:01:58,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_v_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,,,,,0.0001,,,1,,,,1,0.1869131177663803,0.8666666746139526,0.25290048122406006,0.6000000238418579,0.6000000238418579,0.8666666746139526,,,,,,,,,,
8dbdf9d9,vtsnn6:tac_rpg_2,2020-06-16 22:41:45,0:01:56,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_w_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,,,,,0.0001,,,1,,,,1,0.13645678758621216,0.9333333373069763,0.30636686086654663,0.46666666865348816,0.46666666865348816,0.9333333373069763,,,,,,,,,,
f001cecb,vtsnn6:tac_rpg_2,2020-06-16 22:41:40,0:01:56,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_y_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,,,,,0.0001,,,1,,,,1,0.18173891305923462,0.800000011920929,0.3088328540325165,0.4000000059604645,0.4000000059604645,0.800000011920929,,,,,,,,,,
ffcecbdd,vtsnn6:tac_rpg_2,2020-06-16 22:41:34,0:02:02,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_x_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,,,,,0.0001,,,1,,,,1,0.14203044772148132,0.9333333373069763,0.29407644271850586,0.46666666865348816,0.3333333432674408,0.9333333373069763,,,,,,,,,,
1932b076,vtsnn6:tact-snn-2,2020-06-16 22:40:33,0:01:55,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_w_diag epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,3,32,0,3,1,8.41653823852539,1.0,96.81000518798828,0.6000000238418579,0.4000000059604645,1.0,,,,,,,,,,
db705053,vtsnn6:tac_rpg_2,2020-06-16 22:40:26,0:01:26,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_z_diag epochs=300 finger_type=1 lr=0.0001 sample_file=1,4,300,,,,,0.0001,,,1,,,,1,0.1595762073993683,0.9333333373069763,0.23805473744869232,0.7333333492279053,0.6666666865348816,0.8999999761581421,,,,,,,,,,
f0a3f564,vtsnn6:tact-snn-2,2020-06-16 22:39:47,0:01:50,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_v_diag epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,3,32,0,3,1,5.460000038146973,1.0,91.90076446533203,0.46666666865348816,0.46666666865348816,1.0,,,,,,,,,,
