run,operation,started,time,status,label,bin_duration,blacklist_path,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path,batch_size,epochs,lr,sample_file,output_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,tsample,tsr_stop,sc_true,sc_false,theta,tauRho,hidden_size,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,data_path,checkpoint_dir,data_dir,step,acc/test,acc/train,loss/test,loss/train,prob
38da17a3,vtsnn:tact,2020-04-08 23:50:51,1:08:37,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,4,,26.045122146606445,1.0,210.6569366455078,0.4571428596973419,0.41428571939468384,1.0,325,325,150,5,,,32,0.1604217141866684,2142.03125,0.15891093015670776,2044.7320556640625,,,,,,,,,,,
addd2408,vtsnn:tact,2020-04-08 23:33:36,1:27:12,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=32 lr=0.0001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.0001,1,,116.21650695800781,0.8803571462631226,204.1612091064453,0.3857142925262451,0.3642857074737549,0.8767856955528259,325,325,150,5,,,32,0.08273248374462128,635.2840576171875,0.08149706572294235,638.5199584960938,,,,,,,,,,,
f4b13eb1,vtsnn:tact,2020-04-08 22:43:51,1:07:00,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,1,,24.476482391357422,1.0,209.88796997070312,0.4214285612106323,0.3642857074737549,1.0,325,325,150,5,,,32,0.1523347944021225,2089.483154296875,0.14991052448749542,2079.50634765625,,,,,,,,,,,
c1cb1c78,vtsnn:tact,2020-04-08 22:08:05,1:25:30,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=16 lr=0.0001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.0001,4,,145.72857666015625,0.7464285492897034,205.31268310546875,0.3642857074737549,0.3642857074737549,0.7357142567634583,325,325,150,5,,,16,0.08655839413404465,722.6140747070312,0.08220485597848892,640.6672973632812,,,,,,,,,,,
63861161,vtsnn:tact,2020-04-08 21:38:00,1:05:50,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=16 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,4,,61.37327575683594,0.9803571701049805,213.17318725585938,0.4000000059604645,0.3142857253551483,0.9767857193946838,325,325,150,5,,,16,0.16642652451992035,2158.554443359375,0.16314902901649475,2029.173583984375,,,,,,,,,,,
94af0859,vtsnn:viz,2020-04-08 21:33:00,3:59:45,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 lr=0.0001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.0001,4,,0.2799780070781708,1.0,127.7882080078125,0.6571428775787354,0.6285714507102966,1.0,325,325,150,5,,,,0.11381946504116058,1380.2667236328125,0.11333833634853363,1369.651611328125,,,,,,,,,,,
30b59e81,vtsnn:tact,2020-04-08 20:40:53,1:27:11,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=16 lr=0.0001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.0001,1,,152.06471252441406,0.7285714149475098,202.2608642578125,0.3928571343421936,0.3642857074737549,0.7214285731315613,325,325,150,5,,,16,0.10008928179740906,936.5503540039062,0.09974625706672668,968.166259765625,,,,,,,,,,,
c1464f6b,vtsnn:tact,2020-04-08 20:30:37,1:07:23,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=16 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,1,,59.766944885253906,0.9928571581840515,219.15013122558594,0.4285714328289032,0.33571428060531616,0.9857142567634583,325,325,150,5,,,16,0.17701202630996704,2406.001220703125,0.1767895221710205,2403.361083984375,,,,,,,,,,,
33148e1a,vtsnn:tact,2020-04-08 19:07:11,1:23:25,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=8 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,4,,122.74356842041016,0.8410714268684387,209.74888610839844,0.4285714328289032,0.3499999940395355,0.8321428298950195,325,325,150,5,,,8,0.18093545734882355,2536.887451171875,0.17981302738189697,2439.4619140625,,,,,,,,,,,
077ee46a,vtsnn:tact,2020-04-08 18:54:50,1:46:02,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=8 lr=0.0001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.0001,4,,186.50892639160156,0.5446428656578064,205.71678161621094,0.37142857909202576,0.33571428060531616,0.5321428775787354,325,325,150,5,,,8,0.08614560216665268,678.6911010742188,0.08426816016435623,630.3359375,,,,,,,,,,,
84cdbb68,vtsnn:viz,2020-04-08 18:18:02,1:19:19,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=500 lr=0.01 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,500,0.01,4,,56.98874282836914,0.9928571581840515,209.95042419433594,0.5642856955528259,0.37857142090797424,0.925000011920929,325,325,150,5,,,,0.11381945013999939,1380.26708984375,0.11333833634853363,1369.651611328125,,,,,,,,,,,
4d2b4f84,vtsnn:viz,2020-04-08 17:02:03,4:30:57,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 lr=0.0001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.0001,1,,0.40898895263671875,1.0,120.51231384277344,0.7214285731315613,0.6785714030265808,1.0,325,325,150,5,,,,0.11379998177289963,1379.72802734375,0.11344810575246811,1372.0028076171875,,,,,,,,,,,
295572c7,vtsnn:viz,2020-04-08 17:00:25,1:17:36,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=500 lr=0.01 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,500,0.01,1,,43.014190673828125,0.9946428537368774,171.40914916992188,0.5785714387893677,0.4714285731315613,0.9696428775787354,325,325,150,5,,,,0.11379998922348022,1379.72802734375,0.11344810575246811,1372.0028076171875,,,,,,,,,,,
