run,operation,started,time,status,label,batch_size,prob,epochs,tsample,tsr_stop,sc_true,sc_false,lr,sample_file,theta,tauRho,loss_type,loss_train,max_acc_train,loss_test,acc_test,acc_train,max_acc_test,hidden_size,path,bin_duration,blacklist_path,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path,checkpoint_dir,data_dir,step,acc/test,acc/train,loss/test,loss/train,output_size,weightFunction,l1_loss/test,l1_loss/train,l2_loss/test,l2_loss/train,tsr_start
4862fecf,vtsnn:tact2,2020-04-24 04:59:44,0:16:07,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,,2000,325,325,150,5,0.001,2,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,2000,0.7166666388511658,0.9624999761581421,21635318.0,18347868.0,20,,0.3305513858795166,0.32768070697784424,7501.66015625,7532.66943359375,
f857c1a7,vtsnn:mm2,2020-04-24 04:49:20,0:15:28,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,1,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.7666666507720947,1.0,14205280.0,576470.625,20,,0.3814576268196106,0.3818703889846802,7844.044921875,8233.0478515625,
412b9704,vtsnn:tact2,2020-04-24 04:44:03,0:15:40,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,,2000,325,325,150,5,0.001,1,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,2000,0.6833333373069763,0.9291666746139526,21524752.0,19093426.0,20,,0.35190051794052124,0.35372194647789,8326.6025390625,8547.65234375,
5ba90b52,vtsnn:mm,2020-04-24 01:40:39,0:14:11,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=5 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,5,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.8333333134651184,0.9958333373069763,81.13326263427734,5.770461082458496,20,,0.3220130205154419,0.32445722818374634,5649.23583984375,5774.49072265625,
2a9334a2,vtsnn:mm,2020-04-24 01:26:27,0:14:11,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,4,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.8500000238418579,1.0,73.1028823852539,0.6704616546630859,20,,0.32834821939468384,0.3273167908191681,5614.0390625,5675.31396484375,
17c3cf0e,vtsnn:mm,2020-04-24 01:12:13,0:14:13,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=3 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,3,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.8333333134651184,1.0,86.3705825805664,0.5441539287567139,20,,0.3161134719848633,0.3180866539478302,5417.248046875,5575.30029296875,
fba80b50,vtsnn:mm,2020-04-24 00:57:41,0:14:32,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,2,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.8333333134651184,1.0,82.74422454833984,0.8201537728309631,20,,0.33936989307403564,0.3376990854740143,6125.32666015625,6079.60693359375,
a7e5721b,vtsnn:tact,2020-04-24 00:56:11,0:04:05,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 hidden_size=32 lr=0.001 output_size=20 sample_file=5 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,5,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,500,0.6833333373069763,0.8166666626930237,145.12210083007812,128.53903198242188,20,,0.27066707611083984,0.27020353078842163,4684.125,4669.392578125,
be8f67c5,vtsnn:tact,2020-04-24 00:52:06,0:04:04,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 hidden_size=32 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,4,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,500,0.6666666865348816,0.8291666507720947,147.64768981933594,126.41661834716797,20,,0.2634885907173157,0.25836381316185,4581.26416015625,4446.94189453125,
bb680e35,vtsnn:tact,2020-04-24 00:48:03,0:04:03,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 hidden_size=32 lr=0.001 output_size=20 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,3,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,500,0.75,0.8374999761581421,143.6469268798828,126.08016967773438,20,,0.2588176131248474,0.2566530406475067,4357.5185546875,4365.73974609375,
c3fa8d92,vtsnn:tact,2020-04-24 00:44:00,0:04:03,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 hidden_size=32 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,2,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,500,0.6000000238418579,0.887499988079071,148.165771484375,125.75466918945312,20,,0.264723539352417,0.2624287009239197,4571.62841796875,4563.8642578125,
bf14551e,vtsnn:mm,2020-04-24 00:42:14,0:15:26,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,1,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.8333333134651184,1.0,81.13806915283203,0.9738975167274475,20,,0.33105453848838806,0.3338678479194641,5735.037109375,5968.28271484375,
8c647c83,vtsnn:tact,2020-04-24 00:40:08,0:03:51,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 hidden_size=32 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,1,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,500,0.6499999761581421,0.8041666746139526,147.7611541748047,126.0298080444336,20,,0.2558082938194275,0.26145070791244507,4209.22705078125,4467.3681640625,
442b7a1c,vtsnn:tact,2020-04-16 19:21:11,0:20:15,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2_500 epochs=1500 hidden_size=32 lr=0.001 output_size=20 sample_file=4 sc_false=50 sc_true=250 tauRho=1 theta=10 tsample=500 tsr_stop=200,8,,1500,500,200,250,50,0.001,4,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN_2_500/,1500,0.04374999925494194,0.0703125,2770.965576171875,1372.475341796875,20,,0.053937893360853195,0.05336211249232292,467.6042175292969,455.93365478515625,
