run,operation,started,time,status,label,batch_size,lr,sample_file,epochs,hidden_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,output_size,tsample,tsr_stop,sc_true,sc_false,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,bin_duration,data_path,save_dir,threshold,prob
2efcc362,vt_optimize:tact,2020-04-01 23:38:49,0:03:16,completed,batch_size=64 cuda=1 lr=0.05 sample_file=2,64,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
1a1ea201,vt_optimize:tact,2020-04-01 23:35:35,0:03:14,completed,batch_size=64 cuda=1 lr=0.01 sample_file=2,64,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
30c14d48,vt_optimize:tact,2020-04-01 23:32:25,0:03:10,completed,batch_size=64 cuda=1 lr=0.005 sample_file=2,64,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
6d01f0ff,vt_optimize:tact,2020-04-01 23:29:15,0:03:09,completed,batch_size=64 cuda=1 lr=0.001 sample_file=2,64,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
fb187093,vt_optimize:tact,2020-04-01 23:25:34,0:03:40,completed,batch_size=8 cuda=1 lr=0.05 sample_file=2,8,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
10ece05e,vt_optimize:tact,2020-04-01 23:21:51,0:03:42,completed,batch_size=8 cuda=1 lr=0.01 sample_file=2,8,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
e01e0149,vt_optimize:tact,2020-04-01 23:18:18,0:03:32,completed,batch_size=8 cuda=1 lr=0.005 sample_file=2,8,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
c53800d2,vt_optimize:tact,2020-04-01 23:14:48,0:03:29,completed,batch_size=8 cuda=1 lr=0.001 sample_file=2,8,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
7c250fbe,vt_optimize:tact,2020-04-01 23:05:15,0:09:33,completed,batch_size=1 cuda=1 lr=0.05 sample_file=2,1,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
c5d0556b,vt_optimize:tact,2020-04-01 22:55:34,0:09:40,completed,batch_size=1 cuda=1 lr=0.01 sample_file=2,1,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
