run,operation,started,time,status,label,batch_size,epochs,lr,sample_file,hidden_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,tsample,tsr_stop,sc_true,sc_false,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,bin_duration,data_path,save_dir,threshold,prob
e64ed1af,vtsnn:mm,2020-03-06 17:57:21,1:16:22,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,2,,0.2821538746356964,1.0,70.4324951171875,0.9166666865348816,0.8666666746139526,1.0,325,325,150,5,0.3334326148033142,6226.13623046875,0.3375309705734253,6286.45361328125,,,,,,,
c19cd94b,vtsnn:mm,2020-03-06 17:56:53,1:16:43,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,2,,0.40415385365486145,1.0,91.23153686523438,0.7833333611488342,0.75,1.0,325,325,150,5,0.3189236521720886,5431.75048828125,0.3186511695384979,5419.39599609375,,,,,,,
28242df7,vtsnn:viz,2020-03-06 17:55:59,1:14:46,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.01 output_size=20 sample_file=5 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,5,,39.762718200683594,1.0,142.60018920898438,0.7333333492279053,0.550000011920929,0.9624999761581421,325,325,150,5,0.1179194301366806,1560.411376953125,0.11649861931800842,1519.9837646484375,,,,,,,
9f630158,vtsnn:mm,2020-03-06 17:55:26,1:16:07,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,2,,0.5921539068222046,1.0,79.53384399414062,0.8333333134651184,0.8166666626930237,1.0,325,325,150,5,0.30420824885368347,5109.72021484375,0.30501413345336914,5057.39111328125,,,,,,,
0ee679b3,vtsnn:viz,2020-03-06 17:55:05,1:14:06,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.01 output_size=20 sample_file=5 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,5,,61.68147659301758,1.0,122.40940856933594,0.7166666388511658,0.6333333253860474,0.925000011920929,325,325,150,5,0.1179194301366806,1560.411376953125,0.11649861931800842,1519.9837646484375,,,,,,,
44bd3790,vtsnn:mm,2020-03-06 17:54:43,1:16:45,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,2,,0.25579485297203064,1.0,73.25288391113281,0.8833333253860474,0.8500000238418579,1.0,325,325,150,5,0.32727938890457153,5900.6220703125,0.3308458924293518,6005.435546875,,,,,,,
b0b8d0f8,vtsnn:tact,2020-03-06 17:35:32,0:49:54,completed,batch_size=8 checkpoint_dir=/…/logged_models data_dir=/home/…/data_VT_SNN epochs=500 hidden_size=32 lr=0.01 sample_file=3 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,3,32,1.9215898513793945,1.0,127.53211975097656,0.7666666507720947,0.6499999761581421,1.0,325,325,150,5,0.1744050532579422,3677.31298828125,0.17038312554359436,3490.882080078125,,,,,,,
e953ba89,vtsnn:viz,2020-03-06 17:28:49,1:15:20,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.01 output_size=20 sample_file=2 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,2,,41.50553894042969,1.0,176.17115783691406,0.6499999761581421,0.550000011920929,0.9416666626930237,325,325,150,5,0.11715611070394516,1528.9581298828125,0.11927776038646698,1635.7274169921875,,,,,,,
101a88b5,vtsnn:tact,2020-03-06 16:46:06,0:49:26,completed,batch_size=8 checkpoint_dir=/…/logged_models data_dir=/home/…/data_VT_SNN epochs=500 hidden_size=32 lr=0.01 sample_file=2 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,2,32,1.398256540298462,1.0,105.13345336914062,0.7833333611488342,0.7666666507720947,1.0,325,325,150,5,0.13964062929153442,2737.852783203125,0.13192157447338104,2441.398193359375,,,,,,,
c5ab5e32,vtsnn:viz,2020-03-06 16:43:32,1:14:07,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.01 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,4,,46.703495025634766,1.0,235.8455810546875,0.75,0.46666666865348816,0.9291666746139526,325,325,150,5,0.11758960783481598,1555.8572998046875,0.11766394227743149,1535.7891845703125,,,,,,,
01b34208,vtsnn:viz,2020-03-06 16:42:04,1:13:01,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.01 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,4,,52.699337005615234,1.0,132.32998657226562,0.7666666507720947,0.6000000238418579,0.949999988079071,325,325,150,5,0.11758960783481598,1555.8572998046875,0.11766394227743149,1535.7891845703125,,,,,,,
8415e893,vtsnn:viz,2020-03-06 16:41:53,1:14:05,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.01 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,4,,27.22615623474121,1.0,138.26808166503906,0.75,0.6499999761581421,0.9750000238418579,325,325,150,5,0.11758960783481598,1555.8572998046875,0.11766394227743149,1535.7891845703125,,,,,,,
3c4627f7,vtsnn:mm,2020-03-06 16:39:55,1:17:25,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,1,,0.3828718662261963,1.0,76.4638442993164,0.8500000238418579,0.8166666626930237,1.0,325,325,150,5,0.32959476113319397,5911.373046875,0.3283374309539795,5722.22021484375,,,,,,,
f498ae3c,vtsnn:mm,2020-03-06 16:39:50,1:17:03,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,1,,1.1539487838745117,1.0,90.0669174194336,0.8333333134651184,0.8333333134651184,1.0,325,325,150,5,0.32261016964912415,5763.9541015625,0.3184399902820587,5452.9091796875,,,,,,,
f4687e8a,vtsnn:mm,2020-03-06 16:39:45,1:15:40,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,1,,0.4258461892604828,1.0,91.39402770996094,0.8166666626930237,0.7833333611488342,1.0,325,325,150,5,0.3235125243663788,5779.25341796875,0.3199247717857361,5542.572265625,,,,,,,
